ID_Local,País,UF,Cidade,Codigo
0,Sem informação,Sem informação,Sem informação,Sem informaçãoSem informaçãoSem informação
1,África do Sul,,Bothaville,África do SulBothaville
2,África do Sul,,Cidade do Cabo,África do SulCidade do Cabo
3,África do Sul,,Durban,África do SulDurban
4,África do Sul,,Hermanus,África do SulHermanus
5,África do Sul,,Johannesburg,África do SulJohannesburg
6,África do Sul,,Pretória,África do SulPretória
7,Albânia,,Tirana,AlbâniaTirana
8,Alemanha,,Aachen,AlemanhaAachen
9,Alemanha,,Berlim,AlemanhaBerlim
10,Alemanha,,Bonn,AlemanhaBonn
11,Alemanha,,Bremen,AlemanhaBremen
12,Alemanha,,Cologne,AlemanhaCologne
13,Alemanha,,Colônia - Renânia do Norte,AlemanhaColônia - Renânia do Norte
14,Alemanha,,Dortmund,AlemanhaDortmund
15,Alemanha,,Erfurt,AlemanhaErfurt
16,Alemanha,,Frankfurt,AlemanhaFrankfurt
17,Alemanha,,Freiburg,AlemanhaFreiburg
18,Alemanha,,Göttingen,AlemanhaGöttingen
19,Alemanha,,Gronau,AlemanhaGronau
20,Alemanha,,Hamburgo,AlemanhaHamburgo
21,Alemanha,,Hannover,AlemanhaHannover
22,Alemanha,,Heidelberg,AlemanhaHeidelberg
23,Alemanha,,Jülich,AlemanhaJülich
24,Alemanha,,Leipzig - Saxônia,AlemanhaLeipzig - Saxônia
25,Alemanha,,Mönchengladbach,AlemanhaMönchengladbach
26,Alemanha,,Munique,AlemanhaMunique
27,Alemanha,,Münster,AlemanhaMünster
28,Alemanha,,Nuremberg,AlemanhaNuremberg
29,Alemanha,,Oldenburg,AlemanhaOldenburg
30,Alemanha,,Stuttgart,AlemanhaStuttgart
31,Alemanha,,Willich,AlemanhaWillich
32,Angola,,Luanda,AngolaLuanda
33,Angola,,Lubango,AngolaLubango
34,Angola,,Ondjiva,AngolaOndjiva
35,Antártica,,Estação Antártica Comandante Ferraz,AntárticaEstação Antártica Comandante Ferraz
36,Antígua e Barbuda,,Saint John's,Antígua e BarbudaSaint John's
37,Arábia Saudita,,Jedá,Arábia SauditaJedá
38,Arábia Saudita,,Riad,Arábia SauditaRiad
39,Argélia,,Argel,ArgéliaArgel
40,Argentina,,Bernardo de Irigoyen,ArgentinaBernardo de Irigoyen
41,Argentina,,Buenos Aires,ArgentinaBuenos Aires
42,Argentina,,Comodoro Rivadavia,ArgentinaComodoro Rivadavia
43,Argentina,,Cordoba,ArgentinaCordoba
44,Argentina,,Corrientes,ArgentinaCorrientes
45,Argentina,,Eldorado,ArgentinaEldorado
46,Argentina,,General Belgrano,ArgentinaGeneral Belgrano
47,Argentina,,Jujuy,ArgentinaJujuy
48,Argentina,,La Plata,ArgentinaLa Plata
49,Argentina,,La Rioja,ArgentinaLa Rioja
50,Argentina,,Mar Del Plata,ArgentinaMar Del Plata
