Código órgão solicitante,Nome órgão solicitante,Nome do órgão superior
-1,Sem informação,Sem informação
20000,Presidência da República - Unidades com vínculo direto,Presidência da República
20101,Presidência da República,Presidência da República
20202,Fundação Escola Nacional de Administração Pública,Ministério da Economia
20203,Agência Nacional do Cinema,Ministério do Turismo
20301,Comissão Nacional de Energia Nuclear,"Ministério da Ciência, Tecnologia, Inovações e Comunicações"
20402,Agência Espacial Brasileira,"Ministério da Ciência, Tecnologia, Inovações e Comunicações"
20403,Fundação Casa de Rui Barbosa,Ministério do Turismo
20404,Fundação Biblioteca Nacional,Ministério do Turismo
20408,Fundação Cultural Palmares,Ministério do Turismo
20411,Instituto do Patrimônio Histórico e Artístico Nacional,Ministério do Turismo
20412,Fundação Nacional de Artes,Ministério do Turismo
20501,Conselho Nacional de Desenvolvimento Científico e Tecnológico,"Ministério da Ciência, Tecnologia, Inovações e Comunicações"
20603,Superintendência da Zona Franca de Manaus,Ministério da Economia
20701,Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis,Ministério do Meio Ambiente
22000,"Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto","Ministério da Agricultura, Pecuária e Abastecimento"
22201,Instituto Nacional de Colonização e Reforma Agrária,"Ministério da Agricultura, Pecuária e Abastecimento"
22204,Departamento Nacional de Obras Contra as Secas,Ministério do Desenvolvimento Regional
22211,Companhia Nacional de Abastecimento,"Ministério da Agricultura, Pecuária e Abastecimento"
24000,"Ministério da Ciência, Tecnologia, Inovações e Comunicações - Unidades com vínculo direto","Ministério da Ciência, Tecnologia, Inovações e Comunicações"
24208,Instituto Nacional de Tecnologia da Informação,Presidência da República
24209,Centro Nacional de Tecnologia Eletrônica Avançada S.A.,"Ministério da Ciência, Tecnologia, Inovações e Comunicações"
25000,Ministério da Economia - Unidades com vínculo direto,Ministério da Economia
25201,Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto,Banco Central do Brasil - Orçamento Fiscal e Seguridade Social
25203,Comissão de Valores Mobiliários,Ministério da Economia
25205,Fundação Instituto Brasileiro de Geografia e Estatística,Ministério da Economia
25206,Instituto de Pesquisa Econômica Aplicada,"Ministério do Planejamento, Desenvolvimento e Gestão"
25208,Superintendência de Seguros Privados,Ministério da Economia
26000,Ministério da Educação - Unidades com vínculo direto,Ministério da Educação
26201,Colégio Pedro II,Ministério da Educação
26230,Fundação Universidade Federal do Vale do São Francisco,Ministério da Educação
